insecticide	strain	dose	total	dead	replicate	date
temephos	KIS	0	100	2	1	26/01/11
temephos	KIS	0.0007	99	8	1	26/01/11
temephos	KIS	0.001	100	29	1	26/01/11
temephos	KIS	0.002	97	47	1	26/01/11
temephos	KIS	0.003	96	68	1	26/01/11
temephos	KIS	0.004	98	89	1	26/01/11
temephos	KIS	0.005	95	90	1	26/01/11
temephos	KIS	0.007	99	97	1	26/01/11
temephos	KIS	0	99	3	2	26/01/11
temephos	KIS	0.0007	100	5	2	09/02/11
temephos	KIS	0.001	100	32	2	09/02/11
temephos	KIS	0.002	91	65	2	09/02/11
temephos	KIS	0.003	99	88	2	09/02/11
temephos	KIS	0.004	100	94	2	09/02/11
temephos	KIS	0.005	93	92	2	09/02/11
temephos	KIS	0.007	97	95	2	09/02/11
temephos	DZOU	0	95	1	1	04/08/10
temephos	DZOU	0.0006	101	0	1	04/08/10
temephos	DZOU	0.0007	99	5	1	04/08/10
temephos	DZOU	0.001	97	15	1	04/08/10
temephos	DZOU	0.002	97	45	1	04/08/10
temephos	DZOU	0.004	100	53	1	04/08/10
temephos	DZOU	0.007	95	45	1	04/08/10
temephos	DZOU	0.01	97	56	1	04/08/10
temephos	DZOU	0.02	97	75	1	04/08/10
temephos	DZOU	0.04	96	96	1	04/08/10
temephos	DZOU	0	100	0	2	23/02/11
temephos	DZOU	0.0006	103	0	1	23/02/11
temephos	DZOU	0.0007	99	3	1	23/02/11
temephos	DZOU	0.001	97	19	2	23/02/11
temephos	DZOU	0.002	100	43	2	23/02/11
temephos	DZOU	0.004	100	49	2	23/02/11
temephos	DZOU	0.007	100	51	2	23/02/11
temephos	DZOU	0.01	101	58	2	23/02/11
temephos	DZOU	0.02	100	81	2	23/02/11
temephos	DZOU	0.04	100	100	2	23/02/11
